defined_class	defined_class_label	biological_process	biological_process_label	location	location_label
DDPHENO:0000181	abolished slug migration	GO:0040011	locomotion	DDANAT:0000008	migratory slug
DDPHENO:0000192	abolished prestalk O cell differentiation	GO:0030154	cell differentiation	DDANAT:0000407	pstO cell
DDPHENO:0000318	abolished development of tipped mound	GO:0030587	sorocarp development	DDANAT:0000006	tipped mound
DDPHENO:0000387	abolished prespore cell division	GO:0051301	cell division	DDANAT:0000405	prespore cell
DDPHENO:0000487	abolished cell migration to prestalk region	GO:0016477	cell migration	DDANAT:0000087	prestalk region
DDPHENO:0000492	abolished stream development	GO:0030587	sorocarp development	DDANAT:0000013	stream
DDPHENO:0000512	abolished prestalk cell differentiation	GO:0030154	cell differentiation	DDANAT:0000406	prestalk cell
DDPHENO:0000514	abolished stalk cell differentiation	GO:0030154	cell differentiation	DDANAT:0000413	stalk cell
DDPHENO:0000516	abolished prespore cell differentiation	GO:0030154	cell differentiation	DDANAT:0000405	prespore cell
DDPHENO:0000691	abolished spore cell differentiation	GO:0030154	cell differentiation	DDANAT:0000414	spore
DDPHENO:0000721	abolished prestalk gene expression	GO:0010467	gene expression	DDANAT:0000406	prestalk cell
DDPHENO:0000722	abolished prespore gene expression	GO:0010467	gene expression	DDANAT:0000405	prespore cell
DDPHENO:0001076	abolished prestalk A cell differentiation	GO:0030154	cell differentiation	DDANAT:0000408	pstA cell
DDPHENO:0001164	abolished prestalk B cell differentiation	GO:0030154	cell differentiation	DDANAT:0000417	pstB cell
DDPHENO:0001356	abolished basal disc formation	GO:0032502	developmental process	DDANAT:0000089	basal disc 
DDPHENO:0001359	abolished outer basal disc formation	GO:0032502	developmental process	DDANAT:0000099	outer basal disc
DDPHENO:0001360	abolished inner basal disc formation	GO:0032502	developmental process	DDANAT:0000098	inner basal disc
DDPHENO:0001367	abolished lower cup formation	GO:0032502	developmental process	DDANAT:0000105	lower cup
DDPHENO:0001368	abolished upper cup formation	GO:0032502	developmental process	DDANAT:0000107	upper cup
DDPHENO:0001528	abolished prestalk U cell differentiation	GO:0030154	cell differentiation	DDANAT:0001001	pstU cell